time,open,high,low,close,bar_index
1673334000,16.048,16.1,15.87,15.893,223
1673337600,15.893,16.23,15.819,16.206,224
1673341200,16.205,16.352,16.094,16.15,225
1673344800,16.151,16.266,16.08,16.183,226
1673348400,16.182,16.199,15.975,16.021,227
1673352000,16.02,16.083,15.837,15.921,228
1673355600,15.922,16.037,15.805,15.94,229
1673359200,15.94,16.316,15.917,16.125,230
1673362800,16.126,16.489,16.05,16.231,231
1673366400,16.232,16.233,16.02,16.101,232
1673370000,16.101,16.388,16.047,16.354,233
1673373600,16.355,16.464,16.26,16.444,234
1673377200,16.448,16.458,16.261,16.381,235
1673380800,16.38,16.718,16.23,16.612,236
1673384400,16.611,16.612,16.365,16.403,237
1673388000,16.404,16.42,16.181,16.272,238
1673391600,16.271,16.343,16.127,16.191,239
1673395200,16.191,16.323,16.063,16.151,240
1673398800,16.152,16.236,15.88,16.089,241
1673402400,16.089,16.146,15.974,15.993,242
1673406000,15.991,16.074,15.855,16.006,243
1673409600,16.005,16.109,15.813,15.892,244
1673413200,15.892,16.053,15.858,15.967,245
1673416800,15.967,16.15,15.952,16.12,246
1673420400,16.118,16.121,16.005,16.094,247
1673424000,16.094,16.095,15.945,16.021,248
1673427600,16.023,16.128,16.009,16.07,249
1673431200,16.071,16.11,15.981,16.006,250
1673434800,16.008,16.048,15.936,16.024,251
1673438400,16.024,16.024,15.7,15.811,252
1673442000,15.812,15.887,15.726,15.845,253
1673445600,15.844,15.844,15.61,15.636,254
1673449200,15.637,15.801,15.302,15.413,255
1673452800,15.413,15.494,15.329,15.339,256
1673456400,15.34,15.58,15.27,15.542,257
1673460000,15.541,15.828,15.541,15.672,258
1673463600,15.671,16.127,15.601,15.999,259
1673467200,16,16.138,15.909,15.956,260
1673470800,15.957,15.999,15.807,15.896,261
1673474400,15.9,16.298,15.732,16.189,262
1673478000,16.189,16.597,16.178,16.355,263
1673481600,16.354,17,16.127,16.889,264
1673485200,16.888,16.934,16.433,16.584,265
1673488800,16.584,16.62,16.347,16.395,266
